Id,Source,Nucleotide Accession,Start,Stop,Strand,Protein,Protein Name,Organism,Strain,Assembly,len
799678,RefSeq,NC_001734.1,7850,10021,-,NP_044190.1,hypothetical protein,Canine mastadenovirus A,,GCF_000845925.1,2172
718888242,INSDC,OR544955.1,69794,71134,+,WPK28981.1,DNA end protector protein,Escherichia phage vB_EcoP_EP32B,,GCA_033967435.1,1341
27156601,INSDC,JN880452.1,8420,13603,-,AFD22004.1,pre-terminal protein,Simian adenovirus A1285,A1285,GCA_006446335.1,5184
149490929,RefSeq,NZ_CP083093.1,12817,13557,-,WP_087972990.1,hypothetical protein,Bacillus thuringiensis,B401,GCF_020809125.1,741
108190427,RefSeq,NZ_JBDGIA010000015.1,1677,2480,+,WP_063336313.1,hypothetical protein,Bacillus inaquosorum,gbc_l,GCF_040784945.1,804
618205370,INSDC,JAOKRE010000001.1,29135,29731,+,MDB4339469.1,hypothetical protein,bacterium,,GCA_028256005.1,597
717877592,INSDC,OR666137.1,83439,84866,+,WPJ21176.1,hypothetical protein,Klebsiella phage KP17,,GCA_033967525.1,1428
257956386,INSDC,MN038175.1,153890,154771,-,QDH49043.1,DNA end protector protein,Pantoea phage Phynn,,GCA_006864765.1,882
105244891,RefSeq,NZ_LHZM01000090.1,9001,10587,-,WP_061511719.1,hypothetical protein,Gluconobacter thailandicus,LMG 1741,GCF_001580835.1,1587
859864533,INSDC,OR096706.1,12031,14145,-,XBY87759.1,pTP protein,Psittacine aviadenovirus B,,,2115
63721513,INSDC,KM096544.1,11869,13839,-,AIS19786.1,pTP protein,Fowl aviadenovirus C,,GCA_006441215.1,1971
91155091,INSDC,KP279746.1,5409,7268,-,ALB78183.1,terminal protein precursor,unidentified adenovirus,,GCA_006436495.1,1860
576629565,INSDC,OP073754.1,13943,14791,-,UVY45549.1,DNA terminal protein,Bacteriophage sp.,,GCA_029976765.1,849
465188032,INSDC,BK038159.1,3205,3933,-,DAO80396.1,DNA terminal protein,Caudoviricetes sp.,,,729
807664397,INSDC,DATCQX010001001.1,25959,27476,+,HEY8985452.1,glycosyl hydrolase family 28-related protein,Streptomyces sp.,,GCA_036569285.1,1518
402441461,INSDC,LR881138.1,133369,134076,+,CAD5240754.1,DNA end protector protein,Klebsiella phage vB_KqM-Bilbo,,GCA_904067405.1,708
103325577,RefSeq,NZ_LNMB01000058.1,1809,2654,+,WP_060812158.1,hypothetical protein,Enterococcus faecium,VRE-1402253,GCF_001545895.1,846
210900311,RefSeq,NC_049966.1,6797,7750,-,YP_009910369.1,DNA terminal protein,Bacillus phage vB_BthP-Goe4,Goe4,GCF_003614635.1,954
115142531,INSDC,KX258422.1,11243,13453,-,AOC84064.1,pTP protein,Fowl aviadenovirus E,,GCA_006436795.1,2211
