Unnamed: 0,Hit,GenBankID,aln_hit,%I,P(H),E-value,Bit-Score,len(Qry),len(aln),%aln,Taxonomy,TaxID,Database,Method,TP,superkingdom,realm,kingdom,phylum,class,order,family,genus,species,GenomeID,Cluster,Representative_ID,Cluster_Identity,Rep_Synonym_ID,Synonym_Identity,Synomym_E-value,Synonym_Bit-Score,IPG_ID,IPG_Synonym,IPG_len,IPG_Function,eggNOG_Annotation,COG_Category,Reference_GenomeID,IPG_Start,IPG_Stop,IPG_Strand,IPG_Organism,Assembly,Viral_Presence,PHROG_Nr_ORF,Min_Abs_Distance_TP,Mean_Distance_TP,Median_Distance_TP,pPolB,pPolB_distance,Polymerase,Pol_distance
0,AOC84064.1,AOC84064.1,352,99.148,1.0,0.0,716.0,679,352,0.518409425625921,Fowl aviadenovirus E,190065,nr,PSI-BLAST,FAdV-8,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus E,AOC84064.1,23.0,AOC84064.1,100.0,AOC84064.1,100.0,0.0,,115142531.0,AOC84064.1,2211.0,pTP protein,Adenoviral DNA terminal protein,S,KX258422.1,11243.0,13453.0,-,Fowl aviadenovirus E,GCA_006436795.1,,2.0,1.0,-5.5,-5.5,Y,-1.0,phrog_1907,-1.0
1,ANA50312.1,ANA50312.1,354,98.023,1.0,0.0,711.0,679,353,0.519882179675994,Fowl adenovirus 8b,586029,nr,PSI-BLAST,FAdV-8,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus E,ANA50312.1,23.0,AOC84064.1,77.78,AOC84064.1,100.0,0.0,,115142531.0,AOC84064.1,2211.0,pTP protein,Adenoviral DNA terminal protein,S,KX258422.1,11243.0,13453.0,-,Fowl aviadenovirus E,GCA_006436795.1,,2.0,1.0,-5.5,-5.5,Y,-1.0,phrog_1907,-1.0
2,XEQ86939.1,XEQ86939.1,374,99.465,1.0,0.0,752.0,671,374,0.557377049180328,Human adenovirus sp.,1907210,nr,PSI-BLAST,hAd2,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human adenovirus sp.,XEQ86939.1,2.0,AFD22004.1,79.49,AFD22004.1,100.0,0.0,,27156601.0,AFD22004.1,5184.0,pre-terminal protein,Adenoviral DNA terminal protein,S,JN880452.1,8420.0,13603.0,-,Simian adenovirus A1285,GCA_006446335.1,N,,,,,,,,
3,QOV03173.1,QOV03173.1,378,72.487,1.0,0.0,549.0,671,376,0.560357675111773,Human adenovirus 41,10524,nr,PSI-BLAST,hAd2,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus F,QOV03173.1,83.0,A0A7S6TZ10,100.0,QOV03173.1,100.0,0.0,1172.0,369451248.0,QOV03173.1,1707.0,terminal protein precursor pTP,Adenoviral DNA terminal protein,S,MT790999.1,8827.0,10533.0,-,Human adenovirus 41,GCA_015244835.1,,1.0,5.0,-5.0,-5.0,Y,-5.0,phrog_1907,-5.0
4,AGT76236.1,AGT76236.1,442,74.661,1.0,0.0,573.0,671,430,0.640834575260805,Human mastadenovirus B,108098,nr,PSI-BLAST,hAd2,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus B,AGT76236.1,2.0,AFD22004.1,76.26,AFD22004.1,100.0,0.0,,27156601.0,AFD22004.1,5184.0,pre-terminal protein,Adenoviral DNA terminal protein,S,JN880452.1,8420.0,13603.0,-,Simian adenovirus A1285,GCA_006446335.1,N,,,,,,,,
5,QWK52450.1,QWK52450.1,415,68.675,1.0,0.0,561.0,604,415,0.687086092715232,Duck adenovirus 3,2233538,nr,PSI-BLAST,GAdV-4,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,QWK52450.1,89.0,YP_009047156.1,98.31,YP_009047156.1,100.0,0.0,,58856988.0,YP_009047156.1,4625.0,pTP,Adenoviral DNA terminal protein,S,NC_024486.1,10092.0,14716.0,-,Duck adenovirus 2,GCF_000923915.1,,2.0,1.0,-4.0,-4.0,Y,-1.0,phrog_1907,-1.0
6,WJJ54608.1,WJJ54608.1,534,61.798,1.0,0.0,578.0,684,525,0.767543859649123,Otus scops adenovirus,3022758,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Otus scops adenovirus,WJJ54608.1,11.0,AIS19786.1,70.36,AIS19786.1,100.0,0.0,,63721513.0,AIS19786.1,1971.0,pTP protein,Adenoviral DNA terminal protein,S,KM096544.1,11869.0,13839.0,-,Fowl aviadenovirus C,GCA_006441215.1,,2.0,1.0,-6.0,-6.0,Y,-1.0,phrog_1907,-1.0
7,DAW83362.1,DAW83362.1,281,89.324,1.0,0.0,521.0,360,281,0.780555555555556,Caudoviricetes sp.,2832643,nr,PSI-BLAST,Av-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,BK037419.1,3.0,A6XAD1,89.32,DAY18852.1,96.927,0.0,714.0,466657191.0,DAY18852.1,1077.0,hypothetical protein,,,BK041070.1,1346.0,2422.0,+,Caudoviricetes sp.,,,12.0,1.0,6.25,5.5,N,,-,
8,NP_043879.1,NP_043879.1,571,58.844,1.0,0.0,590.0,684,557,0.814327485380117,Fowl aviadenovirus A,190061,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus A,NP_043879.1,11.0,AIS19786.1,72.17,AIS19786.1,100.0,0.0,,63721513.0,AIS19786.1,1971.0,pTP protein,Adenoviral DNA terminal protein,S,KM096544.1,11869.0,13839.0,-,Fowl aviadenovirus C,GCA_006441215.1,,2.0,1.0,-6.0,-6.0,Y,-1.0,phrog_1907,-1.0
9,YP_010790674.1,YP_010790674.1,585,60.684,1.0,0.0,622.0,684,557,0.814327485380117,Psittacine adenovirus 1,318592,nr,PSI-BLAST,PiAdV-1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Psittacine aviadenovirus C,YP_010790674.1,10.0,XBY87759.1,87.65,XBY87759.1,100.0,0.0,,859864533.0,XBY87759.1,2115.0,pTP protein,Adenoviral DNA terminal protein,S,OR096706.1,12031.0,14145.0,-,Psittacine aviadenovirus B,,,2.0,1.0,11.5,11.5,N,,-,
