Genome	Mean	Std	Min	Max	Median	Nr_ORF	Upstream	Downstream	Upstream-Downstream
DNHK01000407	-5.0	5.627314338711377	-11.0	3.0	-7.0	6	4	2	2
BK051574	1.6666666666666667	6.6332495807108	-7.0	16.0	1.0	9	4	5	-1
JABWBS010000009	4.75	2.5860201081971503	1.0	8.0	5.0	4	0	4	-4
MZ577095	83.64179104477611	117.53928546083179	-104.0	222.0	147.0	67	26	41	-15
OP074819	8.0	5.787918451395113	-1.0	14.0	9.5	4	1	3	-2
NC_012560	-2258.0453648915186	1277.065351941475	-4573.0	105.0	-2224.0	507	499	8	491
NZ_JANV01000006	-6.75	6.777720855862979	-18.0	3.0	-6.5	8	6	2	4
BK018356	-1.2	5.635601121442149	-11.0	4.0	2.0	5	2	3	-1
MK089780	-7.875	9.333240326917549	-31.0	5.0	-6.5	16	13	3	10
BK038642	-13.75	4.993746088859544	-21.0	-5.0	-14.0	8	8	0	8
JAFZOY010000103	-8.75	6.977642868476432	-17.0	2.0	-10.0	4	3	1	2
NC_020849	-34.34615384615385	23.42737108547033	-90.0	4.0	-31.0	26	24	2	22
MK892671	32.791666666666664	20.77654760915671	-11.0	69.0	36.0	24	3	21	-18
NC_014655	-79.20906801007557	1020.8459371145642	-1718.0	1790.0	-178.0	397	210	187	23
LR796302	8.785714285714286	15.005611195380839	-18.0	40.0	9.0	14	3	11	-8
NZ_CP064786	215.1291390728477	924.1493994274804	-1271.0	1822.0	135.5	302	132	170	-38
NZ_JAAXJE010000032	16.4	18.69866305381216	-21.0	41.0	21.5	10	2	8	-6
NZNK01000107	20.857142857142858	10.722853717025831	4.0	36.0	24.0	7	0	7	-7
DPHC01000024	24.136363636363637	14.507977286950709	-3.0	46.0	23.0	22	2	20	-18
BK050238	-9.6	9.748846085563152	-23.0	5.0	-13.0	10	7	3	4
BK018806	-8.833333333333334	7.080881928749334	-22.0	-1.0	-7.0	6	6	0	6
CP050848	2281.140271493213	1665.275440442542	-814.0	4813.0	2412.5	442	81	361	-280
QFOD01000001	122.05263157894737	114.72918854241544	-100.0	314.0	128.0	38	6	32	-26
JAAYKG010000060	3.4	18.60752535938081	-18.0	26.0	4.0	5	2	3	-1
BK027723	7.4	5.817215828899595	-3.0	14.0	9.0	5	1	4	-3
JACNFJ010001524	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1
NZ_LHZM01000090	223.2173913043478	149.50336815218205	-4.0	470.0	207.5	46	1	45	-44
MK892736	-13.5	14.517231140957975	-41.0	1.0	-8.0	8	7	1	6
BK046576	-6.25	3.6996621467371855	-11.0	-1.0	-6.5	4	4	0	4
BK016125	27.0	13.162446581088183	-1.0	37.0	33.5	8	1	7	-6
JAFZEN010000025	-6.5	4.5	-11.0	-2.0	-6.5	2	2	0	2
DPWY01000010	-21.0	14.396180048887969	-37.0	3.0	-22.5	8	7	1	6
PDLO01000001	-372.5806451612903	299.5829115882827	-897.0	152.0	-350.0	93	80	13	67
NC_014322	-6.0	7.0	-13.0	1.0	-6.0	2	1	1	0
NZ_PXJB01000007	-4.0	16.0	-20.0	12.0	-4.0	2	1	1	0
QMRG01000020	20.0	0.0	20.0	20.0	20.0	1	0	1	-1
NZ_NZMR01000065	3.0	4.163331998932265	-3.0	9.0	4.0	9	3	6	-3
JAUKJI010000006	-61.98275862068966	62.908935656975316	-206.0	27.0	-51.5	58	51	7	44
JAFLUY010000004	-44.666666666666664	32.453385373828446	-77.0	25.0	-55.5	12	10	2	8
NZ_SCIN01000004	-20.41304347826087	67.25376216628962	-155.0	102.0	-3.0	46	25	21	4
NZLH01000017	1.1666666666666667	2.6087459737497545	-3.0	5.0	1.5	6	2	4	-2
JAULSO010000001	-1694.9285714285713	1134.0081276928615	-3802.0	91.0	-1737.5	98	92	6	86
KU886272	-15.363636363636363	15.714918952573392	-44.0	3.0	-10.0	11	9	2	7
NHIF02000004	-3.5	1.118033988749895	-5.0	-2.0	-3.5	4	4	0	4
DPNL01000160	-1.5	3.0413812651491097	-5.0	2.0	-1.5	4	2	2	0
NC_025436	-35.46666666666667	55.77558207276331	-120.0	79.0	-37.0	45	29	16	13
NZ_JBGCCN010000003	-40.21951219512195	55.1930148439721	-115.0	45.0	-62.0	41	26	15	11
NC_049455	15.275862068965518	62.28737435120525	-96.0	107.0	31.0	58	22	36	-14
NC_005830	1.8	10.225458424931373	-9.0	18.0	-2.0	5	3	2	1
LR796426	9.23076923076923	16.52575540530527	-12.0	34.0	9.0	13	5	8	-3
KY296500	-18.0	10.881176406988354	-29.0	-3.0	-23.0	5	5	0	5
PBFH01000004	17.0	0.0	17.0	17.0	17.0	1	0	1	-1
NZ_LMRY01000058	97.21428571428571	86.14102106548356	-42.0	201.0	143.5	56	15	41	-26
MK387337	-43.578947368421055	37.70148089995752	-108.0	23.0	-40.0	57	48	9	39
DOMK01000019	-2.5	4.716990566028302	-8.0	5.0	-3.5	6	4	2	2
MG592456	-160.62962962962962	120.43649465814687	-329.0	22.0	-184.0	81	68	13	55
NZ_BSTO01000001	-115.25641025641026	143.28396012163878	-329.0	126.0	-140.0	39	28	11	17
MT197175	-18.05263157894737	12.849221496837552	-48.0	-1.0	-16.0	19	19	0	19
FXAI01000001	-316.2542372881356	220.84902375968227	-661.0	28.0	-345.0	59	57	2	55
DTUU01000003	1.5	2.5	-1.0	4.0	1.5	2	1	1	0
BK051693	-45.73684210526316	114.66282015923821	-230.0	107.0	-80.0	38	22	16	6
PAPZ01000020	2.375	5.956876278721928	-5.0	12.0	1.5	8	3	5	-2
NZ_BBYM01000005	-24.51063829787234	72.4888464906845	-174.0	93.0	-12.0	47	31	16	15
MK892639	-6.384615384615385	17.2472448704511	-32.0	19.0	-6.0	13	8	5	3
MK892838	19.0	20.06062240880306	-13.0	42.0	25.0	14	5	9	-4
NC_076486	7.666666666666667	2.6246692913372702	4.0	10.0	9.0	3	0	3	-3
NYZL01000005	-1.1428571428571428	5.514359733033937	-11.0	7.0	-1.0	7	4	3	1
LNDD01000002	37.13333333333333	46.0157460972751	-39.0	95.0	31.0	15	3	12	-9
LR594659	-2609.0856610800747	1587.566625860112	-5358.0	186.0	-2520.0	537	521	16	505
NZ_FNDI01000021	12.153846153846153	48.481314646185965	-42.0	113.0	-7.0	26	17	9	8
NZ_JBIUBV010000008	-40.44	88.1431018287875	-174.0	95.0	-61.0	25	15	10	5
NZ_CAQNSG010000079	-2.3333333333333335	3.815174380753199	-9.0	3.0	-2.5	6	4	2	2
JAOELD010000001	23.892857142857142	37.106352253367895	-34.0	89.0	17.5	28	7	21	-14
JAFONJ010000064	-3.5	1.5	-5.0	-2.0	-3.5	2	2	0	2
NC_073476	7.0	4.949747468305833	-1.0	12.0	8.5	4	1	3	-2
JARO02002344	3.0	0.0	3.0	3.0	3.0	1	0	1	-1
JAOLFF010000004	0.2	5.192301994298868	-6.0	8.0	1.0	5	2	3	-1
LR796745	24.0	13.870832707519762	4.0	40.0	29.0	10	0	10	-10
NZ_BLBC01000014	-42.5	63.81940666181931	-171.0	66.0	-46.5	30	22	8	14
DNBZ01000268	-1.0	5.0	-6.0	4.0	-1.0	2	1	1	0
NZ_JAESDL010000020	15.333333333333334	2.0548046676563256	13.0	18.0	15.0	3	0	3	-3
NZ_CP022999	710.2923976608187	444.2217807886053	-158.0	1399.0	713.0	171	18	153	-135
SSEH01000007	2.5	0.5	2.0	3.0	2.5	2	0	2	-2
QMRH01000031	-3.5	0.5	-4.0	-3.0	-3.5	2	2	0	2
SOKI01000156	6.285714285714286	21.76310302004805	-18.0	38.0	-6.0	14	8	6	2
LR796139	-15.428571428571429	21.483263538040443	-46.0	15.0	-10.0	14	10	4	6
MN856096	15.533333333333333	24.84046877353342	-37.0	47.0	21.0	15	3	12	-9
RFLS01000299	3.5	3.3541019662496847	-2.0	7.0	4.5	4	1	3	-2
