Genome	Mean	Std	Min	Max	Median	Nr_ORF	Upstream	Downstream	Upstream-Downstream	Min_Distance	pPolB	pPolB_distance	Polymerase	Pol_distance
BK015689	-153.27118644067798	83.83050504773581	-265.0	1.0	-187.0	59	58	1	57	1.0	N		-	
ON456333	22.195121951219512	17.661063018299533	-20.0	65.0	20.0	41	3	38	-35	2.0	N		-	
NZ_NFJK01000003	-90.1864406779661	82.8063852807465	-242.0	15.0	-85.0	59	49	10	39	1.0	N		-	
PABJ01000126	0.0	2.160246899469287	-3.0	3.0	0.0	6	3	3	0	1.0	N		-	
BK022672	4.521739130434782	30.86699315677902	-37.0	61.0	-3.0	23	12	11	1	3.0	N		-	
NC_002685	1.5	2.5	-1.0	4.0	1.5	2	1	1	0	1.0	N		-	
DASXUY010000040	-199.15384615384616	184.67463258689466	-487.0	92.0	-163.5	78	63	15	48	1.0	N		-	
NZ_FYEH01000004	-94.5909090909091	81.84639665023805	-215.0	72.0	-96.5	44	36	8	28	1.0	N		-	
MK962753	7.292307692307692	75.53740246790086	-127.0	141.0	16.5	130	52	78	-26	1.0	N		-	
NZ_FNCA01000001	171.95652173913044	151.55947173291307	-43.0	436.0	135.0	69	5	64	-59	6.0	N		-	
QFPJ01000013	76.4	61.190195293036936	-21.0	155.0	94.0	15	2	13	-11	1.0	N		-	
DOMK01000019	2.3636363636363638	6.58196885814471	-8.0	11.0	4.0	11	4	7	-3	2.0	N		-	
RFSS01000223	-2.5	1.118033988749895	-4.0	-1.0	-2.5	4	4	0	4	1.0	N		-	
NC_042132	8.35	20.288605176305243	-21.0	54.0	6.5	40	16	24	-8	1.0	N		-	
MHMA01000019	-5.0	0.0	-5.0	-5.0	-5.0	1	1	0	1	5.0	N		-	
NZYO01000025	6.090909090909091	8.81583848901866	-5.0	21.0	5.0	11	4	7	-3	1.0	N		-	
MK500334	147.76	143.60230638816356	-72.0	384.0	141.5	50	12	38	-26	1.0	N		-	
NVXB01000001	-27.8515625	72.74163287834962	-156.0	101.0	-30.0	128	81	47	34	1.0	N		-	
FQVH01000020	-6.454545454545454	11.9115195302976	-33.0	8.0	-6.0	11	7	4	3	1.0	N		-	
MK892661	23.7	22.828929015615255	-19.0	61.0	29.5	40	11	29	-18	1.0	N		-	
NC_033775	101.234375	134.50996038717494	-113.0	328.0	108.5	64	20	44	-24	1.0	N		-	
MG592606	2.129032258064516	15.767958395642136	-21.0	34.0	-1.0	31	16	15	1	1.0	N		-	
MW286325	-4.5	3.5	-8.0	-1.0	-4.5	2	2	0	2	1.0	Y	-1.0	phrog_1907	-1.0
LC629477	37.80263157894737	47.1233040283518	-44.0	111.0	28.5	76	19	57	-38	1.0	N		-	
JAVEZW010000012	-0.3448275862068966	13.787240133090991	-24.0	22.0	-1.0	29	15	14	1	1.0	N		-	
MK875791	-14.564102564102564	18.08923021677911	-42.0	31.0	-19.0	39	29	10	19	1.0	N		-	
BK046102	12.083333333333334	5.880169120772709	1.0	20.0	12.5	12	0	12	-12	1.0	N		-	
NZ_AKKB01000094	-7.615384615384615	7.509362991917404	-21.0	3.0	-6.0	13	11	2	9	1.0	N		-	
MT711977	-20.11111111111111	21.9870893654761	-47.0	20.0	-25.5	18	14	4	10	3.0	N		-	
MW067004	0.5	1.5	-1.0	2.0	0.5	2	1	1	0	1.0	N		-	
DATKZH010000199	-4.5	0.5	-5.0	-4.0	-4.5	2	2	0	2	4.0	N		-	
MT104474	7.147058823529412	18.51252732125112	-20.0	38.0	2.5	34	15	19	-4	1.0	N		-	
SDZD01000040	-19.0	14.433756729740644	-34.0	8.0	-24.0	6	5	1	4	8.0	N		-	
NZ_LYXP01000014	-10.083333333333334	8.13898369303905	-21.0	3.0	-11.0	12	10	2	8	1.0	N		-	
MG592518	-12.243243243243244	19.517705621425293	-53.0	25.0	-12.0	37	26	11	15	1.0	N		-	
DMHF01000601	-5.0	0.0	-5.0	-5.0	-5.0	1	1	0	1	5.0	N		-	
NZ_JAUJRI010000006	-96.64912280701755	107.9607614274856	-287.0	51.0	-77.0	57	39	18	21	1.0	N		-	
JARO02002344	3.0	0.0	3.0	3.0	3.0	1	0	1	-1	3.0	N		-	
BK032497	-11.848101265822784	133.54031189666324	-205.0	239.0	-24.0	79	46	33	13	1.0	N		-	
MH719082	-29.487179487179485	24.66064215570809	-70.0	12.0	-31.0	39	34	5	29	1.0	N		-	
NZ_LMFK01000012	30.309859154929576	241.78855805063546	-347.0	498.0	-13.5	142	82	60	22	1.0	N		-	
JAFZOY010000103	-10.444444444444445	6.378977819736588	-17.0	2.0	-13.0	9	8	1	7	1.0	N		-	
NZER01000267	20.0	13.624208146495986	-2.0	39.0	21.0	21	2	19	-17	1.0	N		-	
RFVH01001085	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
SHXB01000023	-3.0	0.0	-3.0	-3.0	-3.0	1	1	0	1	3.0	N		-	
CABMGC010000032	-2.3333333333333335	1.247219128924647	-4.0	-1.0	-2.0	3	3	0	3	1.0	N		-	
PGYA01000059	-1.2	9.282241108697834	-16.0	9.0	-1.0	5	3	2	1	1.0	N		-	
NZ_NZGW01000060	-0.2962962962962963	11.397903689047434	-24.0	17.0	1.0	27	13	14	-1	1.0	N		-	
NC_054148	14.953488372093023	19.656294912615788	-13.0	54.0	11.0	43	12	31	-19	1.0	N		-	
JAOPUW010000102	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
JAFCZZ010000010	-4.285714285714286	10.443238218569752	-16.0	9.0	-7.0	7	4	3	1	6.0	N		-	
OM293948	-12.133333333333333	35.44030975535563	-97.0	78.0	-14.5	60	39	21	18	1.0	N		-	
PP352021	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	Y	1.0	phrog_1907	1.0
MT657339	18.802816901408452	41.96330379396388	-38.0	118.0	6.0	71	33	38	-5	1.0	N		-	
PCBK01000174	-28.25	7.224091638399945	-36.0	-18.0	-29.5	4	4	0	4	18.0	N		-	
PBIO01000029	9.2	5.670978751503131	3.0	17.0	6.0	5	0	5	-5	3.0	N		-	
NZ_CP049863	-1064.8159392789373	947.1002194615909	-2649.0	517.0	-1042.0	527	435	92	343	2.0	N		-	
JAFTMX010000002	-5.214285714285714	6.493717529038261	-15.0	8.0	-4.5	14	11	3	8	1.0	N		-	
NC_015250	5.295081967213115	68.23401013971977	-150.0	106.0	16.5	122	47	75	-28	1.0	N		-	
BK036080	-6.583333333333333	4.231987975198207	-13.0	1.0	-6.5	12	11	1	10	1.0	N		-	
NZ_NXNI01000003	33.92307692307692	25.541705076694704	-11.0	66.0	43.0	13	3	10	-7	5.0	N		-	
NZ_ATFI01000001	520.7593984962406	368.4248763036196	-136.0	1151.0	613.0	133	15	118	-103	12.0	N		-	
JAAKFW010000032	-4.5	2.958039891549808	-9.0	-1.0	-4.0	4	4	0	4	1.0	N		-	
NC_049850	-68.58441558441558	96.62961158489703	-234.0	151.0	-58.0	77	61	16	45	2.0	N		-	
NZ_JABTBM010000001	0.38461538461538464	5.3138203197447815	-8.0	10.0	1.0	13	6	7	-1	1.0	N		-	
JAXJXA010000214	8.25	4.789311015167004	-1.0	15.0	8.5	8	1	7	-6	1.0	N		-	
BK066675	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	Y	-1.0	phrog_1907	-1.0
NHKS02000010	24.272727272727273	14.591971074351495	1.0	44.0	27.5	22	0	22	-22	1.0	N		-	
NZ_CAXBCU010000052	0.5	7.280109889280518	-12.0	12.0	0.5	8	4	4	0	2.0	N		-	
NC_047832	-12.32	11.495112004673986	-33.0	5.0	-9.0	25	21	4	17	1.0	N		-	
MFGX01000070	2.6666666666666665	1.247219128924647	1.0	4.0	3.0	3	0	3	-3	1.0	N		-	
NZ_WEZG01000004	-13.196428571428571	95.99393947440811	-182.0	168.0	-11.0	56	33	23	10	3.0	N		-	
DRJY01000026	2.6666666666666665	1.247219128924647	1.0	4.0	3.0	3	0	3	-3	1.0	N		-	
BK021570	-6.9	6.992138442565336	-17.0	7.0	-7.5	10	8	2	6	2.0	N		-	
BK028063	4.333333333333333	4.766783215358364	-3.0	12.0	4.5	12	3	9	-6	1.0	N		-	
BK027723	6.0	5.259911279353167	-3.0	14.0	5.5	12	2	10	-8	1.0	N		-	
LC629609	-22.023622047244096	71.78911203903567	-131.0	114.0	-30.0	127	78	49	29	1.0	N		-	
SCQV01000318	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
NC_073476	7.545454545454546	5.2977462852121695	-1.0	19.0	7.0	11	1	10	-9	1.0	N		-	
NC_042061	-31.760416666666668	57.95395887966921	-125.0	75.0	-31.5	96	70	26	44	1.0	N		-	
NC_002649	6.5625	5.147435647970744	-2.0	17.0	6.5	16	2	14	-12	1.0	N		-	
NZ_DAMCBQ010000026	18.365853658536587	23.589741567005277	-17.0	57.0	16.0	41	12	29	-17	1.0	N		-	
LC629478	88.48872180451127	68.91889278403087	-39.0	193.0	96.0	133	18	115	-97	1.0	N		-	
BK028473	-6.769230769230769	5.7130598854237356	-16.0	3.0	-6.0	13	11	2	9	1.0	N		-	
LC629469	-39.25	61.0687113012875	-133.0	86.0	-39.5	100	70	30	40	1.0	N		-	
NZ_NYTA01000017	-4.833333333333333	11.953614051360738	-27.0	11.0	-2.5	24	14	10	4	1.0	N		-	
NZ_RCOS01000062	-27.107142857142858	42.85385404047633	-110.0	41.0	-18.0	28	22	6	16	4.0	N		-	
MT909815	-18.59375	40.86578084743803	-94.0	60.0	-16.5	96	62	34	28	1.0	N		-	
JAFGFK010000364	5.0	2.160246899469287	3.0	8.0	4.0	3	0	3	-3	3.0	N		-	
NZ_JAASTT010000023	-27.25	17.440971876589906	-64.0	-1.0	-24.0	16	16	0	16	1.0	N		-	
JAYNJB010000211	0.0	1.5811388300841898	-2.0	2.0	0.0	4	2	2	0	1.0	N		-	
BK050583	-15.11111111111111	17.700875335822268	-44.0	16.0	-14.5	18	15	3	12	4.0	N		-	
JAFUBD010000185	6.6	3.6660605559646724	1.0	12.0	6.5	10	0	10	-10	1.0	N		-	
NZ_CP046051	259.3404761904762	554.765141882033	-632.0	1211.0	196.5	420	159	261	-102	1.0	N		-	
MG592631	1.6666666666666667	16.013882865952418	-22.0	35.0	-2.0	27	15	12	3	1.0	N		-	
DUMR01000117	-6.0	0.816496580927726	-7.0	-5.0	-6.0	3	3	0	3	5.0	N		-	
NZ_JANV01000006	-6.818181818181818	6.42181200452704	-18.0	3.0	-6.0	11	9	2	7	1.0	N		-	
NZ_AWGC01000018	-47.666666666666664	27.007817798226906	-88.0	9.0	-47.0	15	14	1	13	9.0	N		-	
KY290956	-2.3955223880597014	68.27512589348984	-135.0	115.0	11.5	134	57	77	-20	1.0	N		-	
QLUM01000027	-2.5	3.6124783736376886	-8.0	3.0	-2.5	10	7	3	4	1.0	N		-	
PEZJ01000009	-14.666666666666666	10.338708279513881	-27.0	3.0	-18.5	6	5	1	4	3.0	N		-	
JBEVXW010000014	-14.75	10.615436872781073	-28.0	-2.0	-14.5	4	4	0	4	2.0	N		-	
BK045229	-4.5	5.2583267300539625	-13.0	3.0	-5.5	10	7	3	4	1.0	N		-	
NC_015569	34.381443298969074	69.25724396202796	-65.0	215.0	14.0	97	40	57	-17	1.0	N		-	
LR796144	-7.5	16.56955038617524	-31.0	31.0	-12.5	20	14	6	8	1.0	N		-	
JAAXKO010000157	-1.8	1.7204650534085253	-4.0	1.0	-2.0	5	4	1	3	1.0	N		-	
RGDD01000025	-14.96774193548387	15.312832213049798	-44.0	7.0	-15.0	31	24	7	17	1.0	N		-	
NZ_JBCIVJ010000001	-39.922222222222224	140.91575322217471	-288.0	218.0	-35.0	90	49	41	8	1.0	N		-	
BK059154	17.095238095238095	9.216469533264696	3.0	32.0	16.0	21	0	21	-21	3.0	N		-	
SOJH01000736	0.0	1.0	-1.0	1.0	0.0	2	1	1	0	1.0	N		-	
NC_009817	-24.0	29.156664951792944	-85.0	38.0	-22.5	36	28	8	20	1.0	N		-	
LODT01000037	75.56363636363636	238.88755541516056	-351.0	448.0	69.0	55	22	33	-11	37.0	N		-	
MT364305	-16.842105263157894	47.70442234591401	-102.0	72.0	-20.0	19	11	8	3	7.0	N		-	
JANXGK010001323	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
NZGN01000038	-31.256756756756758	45.81515765074321	-99.0	45.0	-39.5	74	48	26	22	1.0	N		-	
RFPU01000039	-0.5555555555555556	3.6851386559504444	-6.0	6.0	-1.0	9	5	4	1	1.0	N		-	
NC_025450	-19.34375	12.087207532656167	-43.0	-1.0	-17.5	32	32	0	32	1.0	N		-	
PNJD01000133	3.0	0.0	3.0	3.0	3.0	1	0	1	-1	3.0	N		-	
JAKTLW010000029	-5.75	3.98172910513343	-12.0	1.0	-5.5	12	11	1	10	1.0	N		-	
SHMU01000065	-1.6666666666666667	6.018490028422597	-10.0	4.0	1.0	3	1	2	-1	1.0	N		-	
QGUG01000586	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	N		-	
JAWSTK010000072	-2.4166666666666665	4.554454473979903	-9.0	6.0	-2.5	12	8	4	4	1.0	N		-	
DUQM01000036	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
LR797523	115.78947368421052	80.2806779842929	-14.0	222.0	150.0	95	11	84	-73	1.0	N		-	
OU342829	142.36764705882354	272.40739950711395	-361.0	636.0	133.5	136	46	90	-44	4.0	N		-	
BK035736	-10.375	15.369917859247003	-36.0	7.0	-6.0	8	5	3	2	1.0	N		-	
MN855768	6.448275862068965	12.563181583902505	-21.0	30.0	6.0	29	9	20	-11	1.0	N		-	
MG592517	5.9411764705882355	18.391080281213352	-20.0	43.0	2.0	34	16	18	-2	1.0	N		-	
GG666582	36.6	41.10036496188325	-13.0	102.0	22.0	10	2	8	-6	10.0	N		-	
BK027990	-2.909090909090909	5.0892854553739655	-13.0	4.0	-2.0	11	7	4	3	1.0	N		-	
LR798196	-13.428571428571429	17.668431435409175	-43.0	11.0	-9.0	28	20	8	12	1.0	N		-	
PAAV01000055	26.26086956521739	41.247802637622556	-47.0	96.0	21.0	69	21	48	-27	1.0	N		-	
NZ_FOQF01000014	-25.210526315789473	18.068812757340584	-56.0	2.0	-22.0	19	18	1	17	2.0	N		-	
NC_028659	53.271844660194176	66.2623784625171	-52.0	192.0	47.0	103	24	79	-55	1.0	N		-	
PFKJ01000379	-4.25	1.920286436967152	-7.0	-2.0	-4.0	4	4	0	4	2.0	N		-	
NC_001813	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	Y	-1.0	phrog_1907	-1.0
NZAX01000079	4.181818181818182	5.951595383030149	-4.0	13.0	4.0	11	4	7	-3	1.0	N		-	
DAOSLP010000011	-5.2	6.554387843269575	-11.0	7.0	-8.0	5	4	1	3	4.0	N		-	
NVVV01000063	54.73118279569893	49.379404479732614	-24.0	159.0	48.0	93	14	79	-65	1.0	N		-	
OR666137	18.655405405405407	78.6608107411643	-107.0	160.0	0.0	148	74	74	0	1.0	N		-	
NZZN01000086	8.2	4.915282290977803	2.0	16.0	9.0	5	0	5	-5	2.0	N		-	
JAAYZB010000009	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	N		-	
JABDQT010000164	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	N		-	
BK034520	-88.81818181818181	68.30688529359537	-189.0	12.0	-115.5	44	39	5	34	1.0	N		-	
NC_027348	3.78125	21.070913564378266	-45.0	32.0	3.5	32	13	19	-6	1.0	N		-	
JAGBYG010000070	-0.8	2.1354156504062622	-4.0	2.0	-1.0	5	3	2	1	1.0	N		-	
NC_048650	-71.17647058823529	44.76855771735641	-146.0	7.0	-71.0	51	49	2	47	3.0	N		-	
MK892704	16.263157894736842	41.49551923212301	-39.0	72.0	-4.0	19	10	9	1	1.0	N		-	
BK036664	3.727272727272727	3.5952218060518524	-3.0	9.0	4.0	11	2	9	-7	1.0	N		-	
RGPI01000353	0.6666666666666666	1.247219128924647	-1.0	2.0	1.0	3	1	2	-1	1.0	N		-	
LR796875	12.411764705882353	18.372161880952685	-9.0	43.0	8.0	17	7	10	-3	2.0	N		-	
