seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NC_048023.1	39747	DTR	NA	53	11	0.9997	0.0003	22	79.1241	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_028800.1	41698	DTR	NA	48	11	0.9997	0.0003	23	77.3035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
MZ223858.1	39701	No terminal repeats	NA	50	11	0.9997	0.0003	20	74.4148	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_048175.1	40599	No terminal repeats	NA	46	11	0.9997	0.0003	22	73.0386	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
MK380014.1	44122	DTR	NA	51	11	0.9997	0.0003	18	76.9250	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_048172.1	43264	No terminal repeats	NA	54	11	0.9997	0.0003	7	86.8091	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
LR798307.1	33590	No terminal repeats	NA	52	11	0.9997	0.0003	9	77.1883	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MZ234012.1	44450	No terminal repeats	NA	52	11	0.9997	0.0003	17	80.8128	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
LR798217.1	37569	No terminal repeats	NA	48	11	0.9997	0.0003	5	72.3693	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
PAZU01000056.1	35836	No terminal repeats	NA	47	11	0.9997	0.0003	6	71.9783	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
JAOJPH010000009.1	48487	No terminal repeats	NA	84	11	0.9997	0.0003	10	113.4835	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAOGBL010000005.1	42897	No terminal repeats	NA	35	11	0.9997	0.0003	3	56.8286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_047772.1	40395	DTR	NA	53	11	0.9997	0.0003	22	76.5536	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
MK892701.1	30192	No terminal repeats	NA	46	11	0.9997	0.0003	4	68.3164	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_047799.1	40163	DTR	NA	48	11	0.9997	0.0003	22	70.8920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
DPNL01000160.1	8152	No terminal repeats	NA	10	11	0.9997	0.0003	4	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LR796580.1	34685	No terminal repeats	NA	51	11	0.9997	0.0003	12	79.5289	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MZ868724.1	41477	DTR	NA	48	11	0.9997	0.0003	7	58.4970	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_025450.1	44366	DTR	NA	53	11	0.9997	0.0003	14	65.1781	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_020484.1	48915	No terminal repeats	NA	57	11	0.9997	0.0003	9	81.3078	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LR796715.1	33954	No terminal repeats	NA	52	11	0.9997	0.0003	7	69.4002	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MK892485.1	38309	No terminal repeats	NA	44	11	0.9997	0.0003	8	58.3777	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
