## Wed Mar 12 03:12:31 2025
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NP_044190.1	10514.P87554_ADEC2	0.0	1098.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
WPK28981.1	12353.Q7Y4Y7_BPR69	4.16e-189	533.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AFD22004.1	995022.F2WTK2_9ADEN	0.0	1187.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
WP_087972990.1	307240.Q5ILC8_9VIRU	1.39e-150	426.0	4QB26@10239|Viruses,4QX0Y@35237|dsDNA viruses  no RNA stage,4QHUF@10656|Tectiviridae	10656|Tectiviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MDB4339469.1	1357423.S5MCZ1_9CAUD	1.15e-53	177.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WPJ21176.1	1087482.M1EAG3_9CAUD	5.05e-141	412.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
QDH49043.1	707757.D5JFK2_9CAUD	5.79e-169	476.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
XBY87759.1	1408258.U5NE01_9ADEN	2.67e-293	822.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
AIS19786.1	130663.A0A173ADM0_9ADEN	0.0	1125.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
ALB78183.1	10535.A0A161CB83_9ADEN	0.0	1200.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
