Hit,GenBankID,aln_hit,%I,P(H),E-value,Bit-Score,len(Qry),len(aln),%aln,Taxonomy,TaxID,Database,Method,TP
AOC84064.1,AOC84064.1,352.0,99.148,1.0,0.0,716.0,679.0,352.0,0.5184094256259205,Fowl aviadenovirus E,190065.0,nr,PSI-BLAST,FAdV-8
ANA50312.1,ANA50312.1,354.0,98.023,1.0,0.0,711.0,679.0,353.0,0.5198821796759941,Fowl adenovirus 8b,586029.0,nr,PSI-BLAST,FAdV-8
XEQ86939.1,XEQ86939.1,374.0,99.465,1.0,0.0,752.0,671.0,374.0,0.5573770491803278,Human adenovirus sp.,1907210.0,nr,PSI-BLAST,hAd2
QOV03173.1,QOV03173.1,378.0,72.487,1.0,0.0,549.0,671.0,376.0,0.5603576751117735,Human adenovirus 41,10524.0,nr,PSI-BLAST,hAd2
AGT76236.1,AGT76236.1,442.0,74.661,1.0,0.0,573.0,671.0,430.0,0.6408345752608048,Human mastadenovirus B,108098.0,nr,PSI-BLAST,hAd2
QWK52450.1,QWK52450.1,415.0,68.675,1.0,0.0,561.0,604.0,415.0,0.6870860927152318,Duck adenovirus 3,2233538.0,nr,PSI-BLAST,GAdV-4
WJJ54608.1,WJJ54608.1,534.0,61.798,1.0,0.0,578.0,684.0,525.0,0.7675438596491229,Otus scops adenovirus,3022758.0,nr,PSI-BLAST,PiAdV-1
DAW83362.1,DAW83362.1,281.0,89.324,1.0,0.0,521.0,360.0,281.0,0.7805555555555556,Caudoviricetes sp.,2832643.0,nr,PSI-BLAST,Av-1
BCZ16696.1,BCZ16696.1,566.0,62.898,1.0,0.0,624.0,684.0,557.0,0.814327485380117,Owl adenovirus,2853431.0,nr,PSI-BLAST,PiAdV-1
YP_010790674.1,YP_010790674.1,585.0,60.684,1.0,0.0,622.0,684.0,557.0,0.814327485380117,Psittacine adenovirus 1,318592.0,nr,PSI-BLAST,PiAdV-1
NP_043879.1,NP_043879.1,571.0,58.844,1.0,0.0,590.0,684.0,557.0,0.814327485380117,Fowl aviadenovirus A,190061.0,nr,PSI-BLAST,PiAdV-1
WZB38155.1,WZB38155.1,572.0,33.217,1.0,0.0,586.0,684.0,557.0,0.814327485380117,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
UPO25000.1,UPO25000.1,570.0,79.649,1.0,0.0,794.0,679.0,560.0,0.8247422680412371,Fowl aviadenovirus D,190064.0,nr,PSI-BLAST,FAdV-8
DBA48924.1,DBA48924.1,588.0,33.163,1.0,0.0,609.0,684.0,573.0,0.8377192982456141,Adenovirus bat33390,3115874.0,nr,PSI-BLAST,PiAdV-1
WXG22698.1,WXG22698.1,594.0,31.313,1.0,0.0,643.0,684.0,579.0,0.8464912280701754,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
WXG22478.1,WXG22478.1,594.0,31.313,1.0,0.0,629.0,684.0,579.0,0.8464912280701754,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
YP_009388312.1,YP_009388312.1,598.0,29.766,1.0,0.0,593.0,684.0,581.0,0.8494152046783626,Bat mastadenovirus WIV18,1986506.0,nr,PSI-BLAST,PiAdV-1
WXG22732.1,WXG22732.1,600.0,31.167,1.0,0.0,656.0,684.0,581.0,0.8494152046783626,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
XBH23610.1,XBH23610.1,601.0,32.779,1.0,0.0,644.0,684.0,581.0,0.8494152046783626,Taphozous bat adenovirus,3141934.0,nr,PSI-BLAST,PiAdV-1
WRQ19845.1,WRQ19845.1,596.0,31.544,1.0,0.0,631.0,684.0,581.0,0.8494152046783626,unidentified adenovirus,10535.0,nr,PSI-BLAST,PiAdV-1
AYC35462.1,AYC35462.1,622.0,56.27,1.0,0.0,602.0,684.0,582.0,0.8508771929824561,Fowl adenovirus 8b,586029.0,nr,PSI-BLAST,PiAdV-1
NP_050282.1,NP_050282.1,613.0,56.117,1.0,0.0,590.0,684.0,582.0,0.8508771929824561,Fowl aviadenovirus D,190064.0,nr,PSI-BLAST,PiAdV-1
AEK79911.1,AEK79911.1,602.0,30.897,1.0,0.0,636.0,684.0,583.0,0.8523391812865497,Human adenovirus 61,1069441.0,nr,PSI-BLAST,PiAdV-1
QRV11644.1,QRV11644.1,597.0,30.318,1.0,0.0,632.0,684.0,583.0,0.8523391812865497,Bat mastadenovirus,740971.0,nr,PSI-BLAST,PiAdV-1
NP_108659.1,NP_108659.1,601.0,31.281,1.0,0.0,628.0,684.0,583.0,0.8523391812865497,Porcine adenovirus 5,45370.0,nr,PSI-BLAST,PiAdV-1
XCK17000.1,XCK17000.1,620.0,31.129,1.0,0.0,608.0,684.0,583.0,0.8523391812865497,Simian mastadenovirus,3075435.0,nr,PSI-BLAST,PiAdV-1
YP_010796273.1,YP_010796273.1,623.0,32.424,1.0,0.0,577.0,684.0,583.0,0.8523391812865497,Guinea pig adenovirus,47901.0,nr,PSI-BLAST,PiAdV-1
