Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
799678	RefSeq	NC_001734.1	7850	10021	-	NP_044190.1	hypothetical protein	Canine mastadenovirus A		GCF_000845925.1
799678	Swiss-Prot	N/A				Q96682.1	Preterminal protein	Canine adenovirus 1 strain RI261		
799678	INSDC	Y07760.1	7850	10021	-	CAA69058.1	orf8	Canine adenovirus 1		GCA_000845925.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
718888242	INSDC	OR544955.1	69794	71134	+	WPK28981.1	DNA end protector protein	Escherichia phage vB_EcoP_EP32B		GCA_033967435.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
27156601	INSDC	JN880452.1	8420	13603	-	AFD22004.1	pre-terminal protein	Simian adenovirus A1285	A1285	GCA_006446335.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
149490929	RefSeq	NZ_CP083093.1	12817	13557	-	WP_087972990.1	hypothetical protein	Bacillus thuringiensis	B401	GCF_020809125.1
149490929	RefSeq	NZ_CP116315.1	1398	2138	+	WP_087972990.1	hypothetical protein	Bacillus thuringiensis	Lip	GCF_028356555.1
149490929	RefSeq	NZ_JABXXL010000006.1	12512	13252	-	WP_087972990.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki	KNU-25	GCF_013377585.1
149490929	RefSeq	NZ_JAIVBU010000156.1	3286	4026	-	WP_087972990.1	hypothetical protein	Bacillus thuringiensis	P01_3	GCF_020775855.1
149490929	RefSeq	NZ_JAIVCA010000094.1	12868	13608	-	WP_087972990.1	hypothetical protein	Bacillus thuringiensis	CH_684	GCF_020775995.1
149490929	RefSeq	NZ_JAIVCB010000099.1	12871	13611	-	WP_087972990.1	hypothetical protein	Bacillus thuringiensis	CH_698	GCF_020775975.1
149490929	RefSeq	NZ_JAJBJI010000105.1	1474	2214	+	WP_087972990.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki	18_614	GCF_020775315.1
149490929	RefSeq	NZ_JAWMBJ010000106.1	1351	2091	+	WP_087972990.1	hypothetical protein	Bacillus cereus	B14	GCF_046576485.1
149490929	RefSeq	NZ_NFDU01000027.1	1282	2022	+	WP_087972990.1	hypothetical protein	Bacillus thuringiensis serovar aizawai	BGSC 4J1	GCF_002147165.1
149490929	RefSeq	NZ_NUJY01000261.1	1389	2129	+	WP_087972990.1	hypothetical protein	Bacillus cereus	AFS045441	GCF_002576155.1
149490929	RefSeq	NZ_NVKV01000095.1	12861	13601	-	WP_087972990.1	hypothetical protein	Bacillus cereus	AFS098022	GCF_002550265.1
149490929	INSDC	DAOIJO010000113.1	1342	2082	+	HDR4470850.1	hypothetical protein	Bacillus thuringiensis		GCA_029696345.1
149490929	INSDC	DAOIJP010000100.1	1369	2109	+	HDR4477347.1	hypothetical protein	Bacillus thuringiensis		GCA_029696405.1
149490929	INSDC	DAOIJR010000111.1	1368	2108	+	HDR4508657.1	hypothetical protein	Bacillus thuringiensis		GCA_029696385.1
149490929	INSDC	DAOIXA010000105.1	1368	2108	+	HDR6467257.1	hypothetical protein	Bacillus thuringiensis		GCA_029703995.1
149490929	INSDC	DAOIWZ010000107.1	1368	2108	+	HDR6473714.1	hypothetical protein	Bacillus thuringiensis		GCA_029703935.1
149490929	INSDC	DAOIXF010000111.1	1371	2111	+	HDR6505097.1	hypothetical protein	Bacillus thuringiensis		GCA_029704055.1
149490929	INSDC	DAOIXG010000110.1	1372	2112	+	HDR6511589.1	hypothetical protein	Bacillus thuringiensis		GCA_029704105.1
149490929	INSDC	DAOIXN010000108.1	1368	2108	+	HDR6523877.1	hypothetical protein	Bacillus thuringiensis		GCA_029704245.1
149490929	INSDC	DAOIXI010000099.1	1368	2108	+	HDR6530685.1	hypothetical protein	Bacillus thuringiensis		GCA_029704185.1
149490929	INSDC	DAOIXL010000106.1	1373	2113	+	HDR6537286.1	hypothetical protein	Bacillus thuringiensis		GCA_029704205.1
149490929	INSDC	DAOIYI010000114.1	1368	2108	+	HDR6686899.1	hypothetical protein	Bacillus thuringiensis		GCA_029705135.1
149490929	INSDC	DAOIYT010000102.1	1371	2111	+	HDR6700166.1	hypothetical protein	Bacillus thuringiensis		GCA_029705235.1
149490929	INSDC	DAOIYM010000105.1	1368	2108	+	HDR6713225.1	hypothetical protein	Bacillus thuringiensis		GCA_029705115.1
149490929	INSDC	DAOIYJ010000107.1	1370	2110	+	HDR6719626.1	hypothetical protein	Bacillus thuringiensis		GCA_029705055.1
149490929	INSDC	DAOIYV010000108.1	1372	2112	+	HDR6726275.1	hypothetical protein	Bacillus thuringiensis		GCA_029705275.1
149490929	INSDC	DAOIYK010000109.1	1370	2110	+	HDR6764340.1	hypothetical protein	Bacillus thuringiensis		GCA_029705395.1
149490929	INSDC	DAOIZB010000109.1	1376	2116	+	HDR6802612.1	hypothetical protein	Bacillus thuringiensis		GCA_029705455.1
149490929	INSDC	DAOIZC010000109.1	1368	2108	+	HDR6815593.1	hypothetical protein	Bacillus thuringiensis		GCA_029705695.1
149490929	INSDC	DAOIZQ010000106.1	1376	2116	+	HDR6918565.1	hypothetical protein	Bacillus thuringiensis		GCA_029705955.1
149490929	INSDC	DAOIZY010000107.1	1369	2109	+	HDR6970635.1	hypothetical protein	Bacillus thuringiensis		GCA_029706145.1
149490929	INSDC	DAOJAB010000108.1	1368	2108	+	HDR6977154.1	hypothetical protein	Bacillus thuringiensis		GCA_029706205.1
149490929	INSDC	DAOJAD010000104.1	1371	2111	+	HDR6990226.1	hypothetical protein	Bacillus thuringiensis		GCA_029706285.1
149490929	INSDC	DAOJAF010000102.1	1368	2108	+	HDR6996661.1	hypothetical protein	Bacillus thuringiensis		GCA_029706305.1
149490929	INSDC	DAOJAG010000112.1	1368	2108	+	HDR7008696.1	hypothetical protein	Bacillus thuringiensis		GCA_029706245.1
149490929	INSDC	DAOJAE010000108.1	1371	2111	+	HDR7015065.1	hypothetical protein	Bacillus thuringiensis		GCA_029706265.1
149490929	INSDC	DAOJAJ010000107.1	1372	2112	+	HDR7031863.1	hypothetical protein	Bacillus thuringiensis		GCA_029706385.1
149490929	INSDC	DAOJBB010000108.1	1368	2108	+	HDR7170407.1	hypothetical protein	Bacillus thuringiensis		GCA_029706945.1
149490929	INSDC	DAOJBG010000108.1	1368	2108	+	HDR7182089.1	hypothetical protein	Bacillus thuringiensis		GCA_029707045.1
149490929	INSDC	DBBRPS010000094.1	1382	2122	+	HGE5798674.1	hypothetical protein	Bacillus cereus		GCA_044949825.1
149490929	INSDC	JAIVBU010000156.1	3286	4026	-	MCC3939554.1	hypothetical protein	Bacillus thuringiensis	P01_3	GCA_020775855.1
149490929	INSDC	JAIVCA010000094.1	12868	13608	-	MCC3976585.1	hypothetical protein	Bacillus thuringiensis	CH_684	GCA_020775995.1
149490929	INSDC	JAIVCB010000099.1	12871	13611	-	MCC3995351.1	hypothetical protein	Bacillus thuringiensis	CH_698	GCA_020775975.1
149490929	INSDC	JAJBJI010000105.1	1474	2214	+	MCC4007635.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki	18_614	GCA_020775315.1
149490929	INSDC	JAOPNW010000111.1	1393	2133	+	MCU5220404.1	hypothetical protein	Bacillus cereus	BC455A	GCA_025518025.1
149490929	INSDC	JAOPNX010000108.1	1392	2132	+	MCU5265128.1	hypothetical protein	Bacillus cereus	BC454A	GCA_025518475.1
149490929	INSDC	JARKWW010000034.1	1515	2255	+	MEB8712880.1	hypothetical protein	Bacillus cereus	HD-537	GCA_035799035.1
149490929	INSDC	JARLAV010000048.1	5226	5966	-	MEB9318798.1	hypothetical protein	Bacillus cereus	HD-132	GCA_035801115.1
149490929	INSDC	JARLBF010000086.1	12867	13607	-	MEB9385979.1	hypothetical protein	Bacillus cereus	HD-112	GCA_035801275.1
149490929	INSDC	JARLAX010000147.1	1409	2149	+	MEB9427933.1	hypothetical protein	Bacillus cereus	HD-127	GCA_035801135.1
149490929	INSDC	JARLBC010000103.1	12868	13608	-	MEB9500929.1	hypothetical protein	Bacillus cereus	HD-119	GCA_035801215.1
149490929	INSDC	JABXXL010000006.1	12512	13252	-	NVO49106.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki	KNU-25	GCA_013377585.1
149490929	INSDC	NFDU01000027.1	1282	2022	+	OTY95090.1	hypothetical protein	Bacillus thuringiensis serovar aizawai	BGSC 4J1	GCA_002147165.1
149490929	INSDC	NVKV01000095.1	12861	13601	-	PDY63918.1	hypothetical protein	Bacillus cereus	AFS098022	GCA_002550265.1
149490929	INSDC	NUJY01000261.1	1389	2129	+	PGQ62522.1	hypothetical protein	Bacillus cereus	AFS045441	GCA_002576155.1
149490929	INSDC	CP083093.1	12817	13557	-	UEK82488.1	hypothetical protein	Bacillus thuringiensis	B401	GCA_020809125.1
149490929	INSDC	CP116315.1	1398	2138	+	WCH13751.1	hypothetical protein	Bacillus thuringiensis	Lip	GCA_028356555.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
108190427	RefSeq	NZ_JBDGIA010000015.1	1677	2480	+	WP_063336313.1	hypothetical protein	Bacillus inaquosorum	gbc_l	GCF_040784945.1
108190427	RefSeq	NZ_JBDGIB010000015.1	1677	2480	+	WP_063336313.1	hypothetical protein	Bacillus inaquosorum	gbc_k	GCF_040784975.1
108190427	RefSeq	NZ_JBDGIC010000015.1	11794	12597	-	WP_063336313.1	hypothetical protein	Bacillus inaquosorum	gbc_j	GCF_040785085.1
108190427	RefSeq	NZ_LVYH01000018.1	1467	2270	+	WP_063336313.1	hypothetical protein	Bacillus subtilis subsp. subtilis	ALBA01	GCF_001625135.1
108190427	INSDC	JBDGIA010000015.1	1677	2480	+	MEW7063529.1	hypothetical protein	Bacillus inaquosorum	gbc_l	GCA_040784945.1
108190427	INSDC	JBDGIB010000015.1	1677	2480	+	MEW7075323.1	hypothetical protein	Bacillus inaquosorum	gbc_k	GCA_040784975.1
108190427	INSDC	JBDGIC010000015.1	11794	12597	-	MEW7084731.1	hypothetical protein	Bacillus inaquosorum	gbc_j	GCA_040785085.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
618205370	INSDC	JAOKRE010000001.1	29135	29731	+	MDB4339469.1	hypothetical protein	bacterium		GCA_028256005.1
618205370	INSDC	JAOKSC010000003.1	6282	6878	-	MDB4347956.1	hypothetical protein	bacterium		GCA_028256745.1
618205370	INSDC	JAOKSV010000002.1	34186	34782	-	MDB4350069.1	hypothetical protein	bacterium		GCA_028257365.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
717877592	INSDC	OR666137.1	83439	84866	+	WPJ21176.1	hypothetical protein	Klebsiella phage KP17		GCA_033967525.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
257956386	INSDC	MN038175.1	153890	154771	-	QDH49043.1	DNA end protector protein	Pantoea phage Phynn		GCA_006864765.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
105244891	RefSeq	NZ_LHZM01000090.1	9001	10587	-	WP_061511719.1	hypothetical protein	Gluconobacter thailandicus	LMG 1741	GCF_001580835.1
105244891	INSDC	LHZM01000090.1	9001	10587	-	KXV32260.1	hypothetical protein	Gluconobacter thailandicus	LMG 1741	GCA_001580835.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
859864533	INSDC	OR096706.1	12031	14145	-	XBY87759.1	pTP protein	Psittacine aviadenovirus B		
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
63721513	INSDC	KM096544.1	11869	13839	-	AIS19786.1	pTP protein	Fowl aviadenovirus C		GCA_006441215.1
63721513	INSDC	KU991797.1	11869	13839	-	APA19515.1	pTP protein	Fowl aviadenovirus 4	HLJFAd15	GCA_006436635.1
63721513	INSDC	KX538980.1	11869	13839	-	ARQ79983.1	pTP protein	Fowl aviadenovirus 4	HLJDAd15	GCA_006435195.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
91155091	INSDC	KP279746.1	5409	7268	-	ALB78183.1	terminal protein precursor	unidentified adenovirus		GCA_006436495.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
576629565	INSDC	OP073754.1	13943	14791	-	UVY45549.1	DNA terminal protein	Bacteriophage sp.		GCA_029976765.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
465188032	INSDC	BK038159.1	3205	3933	-	DAO80396.1	DNA terminal protein	Caudoviricetes sp.		
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
807664397	INSDC	DATCQX010001001.1	25959	27476	+	HEY8985452.1	glycosyl hydrolase family 28-related protein	Streptomyces sp.		GCA_036569285.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
402441461	INSDC	LR881138.1	133369	134076	+	CAD5240754.1	DNA end protector protein	Klebsiella phage vB_KqM-Bilbo		GCA_904067405.1
402441461	INSDC	LR881139.1	131612	132319	+	CAD5240891.1	DNA end protector protein	Klebsiella phage vB_KqM-LilBean		GCA_904067415.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
103325577	RefSeq	NZ_LNMB01000058.1	1809	2654	+	WP_060812158.1	hypothetical protein	Enterococcus faecium	VRE-1402253	GCF_001545895.1
103325577	INSDC	LNMB01000058.1	1809	2654	+	KWY73223.1	hypothetical protein	Enterococcus faecium	VRE-1402253	GCA_001545895.1
Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
