Unnamed: 0,Hit,%I,aln_hit,E-value,Bit-Score,len(Qry),len(aln),%aln,Database,Method,TP
0,NP_040718.1,97.744,266.0,0.0,534.0,266,266.0,1.0,nr,PSI-BLAST,phi29
1,2EX3_B,100.0,196.0,3.11e-140,403.0,266,196.0,0.7368421052631579,nr,PSI-BLAST,phi29
2,NP_690636.1,62.03,266.0,2.25e-115,342.0,266,266.0,1.0,nr,PSI-BLAST,phi29
3,UOX39806.1,59.023,266.0,3.13e-113,336.0,266,266.0,1.0,nr,PSI-BLAST,phi29
4,AYJ76434.1,58.559,222.0,1.66e-87,269.0,266,222.0,0.8345864661654135,nr,PSI-BLAST,phi29
5,UTC25166.1,41.569,255.0,1.05e-62,207.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
6,YP_009910547.1,42.164,268.0,2.67e-60,201.0,266,266.0,1.0,nr,PSI-BLAST,phi29
7,HSH24519.1,40.876,274.0,1.2e-59,200.0,266,266.0,1.0,nr,PSI-BLAST,phi29
8,MCU7526581.1,37.455,275.0,2.55e-51,180.0,266,258.0,0.9699248120300752,nr,PSI-BLAST,phi29
9,YP_009910647.1,39.925,268.0,1.26e-50,177.0,266,266.0,1.0,nr,PSI-BLAST,phi29
10,UXN78499.1,39.326,267.0,1.89e-48,171.0,266,266.0,1.0,nr,PSI-BLAST,phi29
11,NP_073686.1,39.033,269.0,2.5e-47,168.0,266,266.0,1.0,nr,PSI-BLAST,phi29
12,AAA32196.1,70.192,104.0,7.65e-44,154.0,266,104.0,0.3909774436090225,nr,PSI-BLAST,phi29
13,YP_009910150.1,36.179,246.0,2.45e-37,142.0,266,240.0,0.9022556390977444,nr,PSI-BLAST,phi29
14,YP_010114692.1,33.08,263.0,2.7500000000000004e-35,137.0,266,257.0,0.9661654135338346,nr,PSI-BLAST,phi29
15,UWG09006.1,31.673,281.0,1.55e-29,122.0,266,259.0,0.9736842105263158,nr,PSI-BLAST,phi29
16,YP_009198013.1,36.139,202.0,1.22e-24,108.0,266,198.0,0.7443609022556391,nr,PSI-BLAST,phi29
17,WP_238629291.1,59.459,74.0,3.46e-18,87.4,266,73.0,0.2744360902255639,nr,PSI-BLAST,phi29
18,AAA32290.1,100.0,40.0,1.54e-17,84.7,266,40.0,0.150375939849624,nr,PSI-BLAST,phi29
19,DAF09937.1,27.391,230.0,6.72e-17,88.6,266,227.0,0.8533834586466166,nr,PSI-BLAST,phi29
20,YP_009910606.1,30.457,197.0,1.63e-15,84.0,266,194.0,0.7293233082706767,nr,PSI-BLAST,phi29
21,HWI49890.1,41.6,125.0,3.15e-15,80.9,266,124.0,0.4661654135338345,nr,PSI-BLAST,phi29
22,QWT50655.1,27.517,298.0,2.4e-14,82.8,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
23,MCR0248994.1,24.783,230.0,3.88e-14,80.9,266,227.0,0.8533834586466166,nr,PSI-BLAST,phi29
24,MCU7526204.1,27.236,246.0,4.84e-14,80.9,266,245.0,0.9210526315789472,nr,PSI-BLAST,phi29
25,YP_009910369.1,27.119,295.0,6.71e-14,81.6,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
26,DAV68075.1,25.683,183.0,2.77e-13,78.6,266,182.0,0.6842105263157895,nr,PSI-BLAST,phi29
27,YP_008060104.1,27.407,270.0,4.68e-13,79.0,266,231.0,0.868421052631579,nr,PSI-BLAST,phi29
28,YP_009279582.1,28.625,269.0,6.41e-13,78.6,266,231.0,0.868421052631579,nr,PSI-BLAST,phi29
29,YP_009910223.1,27.881,269.0,6.6e-12,75.9,266,230.0,0.8646616541353384,nr,PSI-BLAST,phi29
30,USL89528.1,24.916,297.0,6.97e-12,75.9,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
31,HSW76036.1,29.362,235.0,1.1e-10,71.6,266,234.0,0.8796992481203008,nr,PSI-BLAST,phi29
32,YP_010113748.1,24.407,295.0,6.13e-09,67.4,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
33,AZV00069.1,26.296,270.0,8.24e-09,66.6,266,227.0,0.8533834586466166,nr,PSI-BLAST,phi29
34,DAQ18774.1,24.103,195.0,6.75e-08,63.9,266,194.0,0.7293233082706767,nr,PSI-BLAST,phi29
35,WP_102981911.1,24.579,297.0,8.48e-08,63.9,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
36,YP_009910463.1,23.792,269.0,2.21e-07,62.8,266,231.0,0.868421052631579,nr,PSI-BLAST,phi29
37,YP_009910415.1,34.722,72.0,6.36e-05,52.0,266,71.0,0.2669172932330827,nr,PSI-BLAST,phi29
38,MBQ8168678.1,25.778,225.0,0.000514,52.8,266,218.0,0.8195488721804511,nr,PSI-BLAST,phi29
39,DAT57027.1,23.846,260.0,0.000539,52.8,266,241.0,0.9060150375939848,nr,PSI-BLAST,phi29
40,MDP4120848.1,25.108,231.0,0.000646,52.0,266,227.0,0.8533834586466166,nr,PSI-BLAST,phi29
41,NP_040718.1,97.744,266.0,7.33e-97,295.0,266,266.0,1.0,nr,PSI-BLAST,phi29
42,UOX39806.1,59.023,266.0,1.48e-94,289.0,266,266.0,1.0,nr,PSI-BLAST,phi29
43,NP_690636.1,62.03,266.0,2.7e-93,286.0,266,266.0,1.0,nr,PSI-BLAST,phi29
44,AYJ76434.1,58.559,222.0,4.41e-76,240.0,266,222.0,0.8345864661654135,nr,PSI-BLAST,phi29
45,YP_009910547.1,41.729,266.0,9.62e-73,233.0,266,266.0,1.0,nr,PSI-BLAST,phi29
46,YP_009910647.1,39.326,267.0,2.51e-72,232.0,266,266.0,1.0,nr,PSI-BLAST,phi29
47,UXN78499.1,39.326,267.0,6.97e-72,231.0,266,266.0,1.0,nr,PSI-BLAST,phi29
48,NP_073686.1,38.433,268.0,3.12e-71,229.0,266,266.0,1.0,nr,PSI-BLAST,phi29
49,HSH24519.1,39.852,271.0,7.43e-70,226.0,266,266.0,1.0,nr,PSI-BLAST,phi29
50,UTC25166.1,41.569,255.0,4.95e-69,224.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
51,2EX3_B,100.0,196.0,3.25e-66,215.0,266,196.0,0.7368421052631579,nr,PSI-BLAST,phi29
52,YP_010114692.1,32.197,264.0,4.36e-62,206.0,266,261.0,0.981203007518797,nr,PSI-BLAST,phi29
53,MCU7526581.1,36.786,280.0,2.86e-57,195.0,266,263.0,0.9887218045112782,nr,PSI-BLAST,phi29
54,YP_009910150.1,35.51,245.0,2.87e-52,181.0,266,241.0,0.9060150375939848,nr,PSI-BLAST,phi29
55,UWG09006.1,28.676,272.0,3.4299999999999995e-52,181.0,266,260.0,0.9774436090225564,nr,PSI-BLAST,phi29
56,YP_009910369.1,26.014,296.0,1.65e-44,162.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
57,YP_009198013.1,32.759,232.0,1.7700000000000002e-43,157.0,266,228.0,0.8571428571428571,nr,PSI-BLAST,phi29
58,QWT50655.1,27.365,296.0,8.78e-43,158.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
59,YP_009910223.1,23.63,292.0,2.14e-42,157.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
60,YP_009279582.1,23.63,292.0,4.95e-41,153.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
61,MDP4120848.1,24.576,236.0,1.8199999999999999e-40,150.0,266,232.0,0.8721804511278195,nr,PSI-BLAST,phi29
62,YP_009910606.1,28.856,201.0,5.85e-40,147.0,266,198.0,0.7443609022556391,nr,PSI-BLAST,phi29
63,YP_010113748.1,23.549,293.0,6.52e-40,150.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
64,YP_008060104.1,22.712,295.0,1.44e-38,147.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
65,DAF09937.1,24.675,231.0,4.68e-38,144.0,266,231.0,0.868421052631579,nr,PSI-BLAST,phi29
66,MCU7526204.1,24.775,222.0,5.159999999999999e-38,144.0,266,220.0,0.8270676691729323,nr,PSI-BLAST,phi29
67,WP_102981911.1,21.16,293.0,3.44e-37,143.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
68,DAV68075.1,21.212,231.0,4.12e-37,141.0,266,231.0,0.868421052631579,nr,PSI-BLAST,phi29
69,MCR0248994.1,22.511,231.0,5.050000000000001e-37,141.0,266,231.0,0.868421052631579,nr,PSI-BLAST,phi29
70,USL89528.1,22.449,294.0,7.76e-37,142.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
71,YP_009910463.1,21.16,293.0,1.37e-36,142.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
72,AZV00069.1,25.0,272.0,2.79e-36,140.0,266,230.0,0.8646616541353384,nr,PSI-BLAST,phi29
73,DAQ18774.1,20.325,246.0,6.71e-36,139.0,266,243.0,0.9135338345864662,nr,PSI-BLAST,phi29
74,DAT57027.1,22.814,263.0,2.9800000000000002e-33,133.0,266,244.0,0.9172932330827068,nr,PSI-BLAST,phi29
75,HSW76036.1,29.114,237.0,4.9e-32,129.0,266,236.0,0.8872180451127819,nr,PSI-BLAST,phi29
