Hit,GenBankID,aln_hit,%I,P(H),E-value,Bit-Score,len(Qry),len(aln),%aln,Taxonomy,TaxID,Database,Method,TP
J8L4N5,,245.0,99.1,1.0,3.5690000000000003e-35,1041.0,245.0,245.0,1.0,Bacillus cereus VD166,1053240.0,AFDB50,FoldSeek,Sato
UPI00006CA333,,196.0,100.0,1.0,8.702e-27,1217.0,266.0,196.0,0.7368421052631579,Salasvirus phi29,10756.0,BFVD,FoldSeek,phi29
A0A4Q0MDR8,,379.0,65.4,1.0,1.5640000000000002e-25,565.0,679.0,378.0,0.5567010309278351,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,FAdV-8
A0A5C0A6P1,,576.0,23.7,1.0,3.671e-25,1052.0,559.0,550.0,0.9838998211091234,Gluconobacter thailandicus,257438.0,AFDB50,FoldSeek,GC1
A0A4Q0MDR8,,351.0,57.2,1.0,2.463e-22,522.0,684.0,341.0,0.4985380116959064,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,PiAdV-1
A0A4Q0MC37,,248.0,73.3,1.0,2.6969999999999995e-22,827.0,679.0,248.0,0.3652430044182621,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,FAdV-8
A0A7U0Y4R6,,562.0,21.5,1.0,1.513e-21,803.0,559.0,512.0,0.9159212880143112,Gluconobacter sphaericus,574987.0,AFDB50,FoldSeek,GC1
A0A4Q0MDR8,,344.0,59.5,1.0,1.688e-21,516.0,604.0,331.0,0.5480132450331126,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,GAdV-4
UPI00006CA333,,196.0,57.1,1.0,6.802e-20,913.0,266.0,196.0,0.7368421052631579,Salasvirus phi29,10756.0,BFVD,FoldSeek,Chedec11
A0A4Q0MC37,,260.0,59.6,1.0,1.716e-19,681.0,684.0,256.0,0.3742690058479532,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,PiAdV-1
A0A4Q0MC37,,238.0,69.3,1.0,2.961e-19,760.0,604.0,235.0,0.3890728476821192,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,GAdV-4
A0A4Q0MDR8,,351.0,50.7,1.0,2.199e-18,449.0,598.0,335.0,0.560200668896321,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,CrAdV-1
A0A4Q0MC37,,218.0,57.3,1.0,6.739e-17,711.0,598.0,216.0,0.3612040133779264,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,CrAdV-1
J8L4N5,,248.0,33.4,1.0,1.523e-13,409.0,245.0,228.0,0.9306122448979592,Bacillus cereus VD166,1053240.0,AFDB50,FoldSeek,Bam35
A0A4Q0MC37,,216.0,32.8,1.0,2.795e-13,508.0,671.0,209.0,0.3114754098360656,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,hAd2
UPI00006CA333,,196.0,40.8,1.0,3.652e-13,594.0,264.0,193.0,0.7310606060606061,Salasvirus phi29,10756.0,BFVD,FoldSeek,Karezi
A0A4Q0MC37,,262.0,31.6,1.0,4.297e-13,475.0,638.0,257.0,0.40282131661442,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,EAdV-1
A0A2E5YUE1,,116.0,46.5,1.0,5.029e-13,555.0,115.0,115.0,1.0,Euryarchaeota archaeon,2026739.0,AFDB50,FoldSeek,S-SCSM1
A0A4Q0MC37,,253.0,27.6,1.0,7.565e-13,486.0,581.0,247.0,0.4251290877796901,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,DAdV-1
A0A4Q0MC37,,253.0,27.6,1.0,7.565e-13,486.0,581.0,247.0,0.4251290877796901,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,PsAdV-3
UPI00006CA333,,201.0,38.3,1.0,7.62e-13,568.0,265.0,195.0,0.7358490566037735,Salasvirus phi29,10756.0,BFVD,FoldSeek,GA1
A0A4Q0MC37,,215.0,39.0,1.0,2.392e-12,497.0,613.0,207.0,0.3376835236541599,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,PAdV-4
A0A4Q0MC37,,248.0,36.6,1.0,3.591e-12,454.0,649.0,243.0,0.37442218798151,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,BAdV-3
UPI00006CA333,,202.0,27.7,1.0,4.086e-12,482.0,250.0,198.0,0.792,Salasvirus phi29,10756.0,BFVD,FoldSeek,Harambe
J3B322,,251.0,19.9,1.0,4.696e-12,370.0,233.0,226.0,0.9699570815450644,Brevibacillus sp. CF112,1144311.0,AFDB50,FoldSeek,AP50
A0A4Q0MC37,,253.0,31.2,1.0,3.999e-11,431.0,619.0,240.0,0.3877221324717286,Desulfovibrio sp. DS-1,2497683.0,AFDB50,FoldSeek,CPAdV-2
A0A2E5YUE1,,117.0,39.3,1.0,4.614e-11,483.0,114.0,114.0,1.0,Euryarchaeota archaeon,2026739.0,AFDB50,FoldSeek,S-CREM2
A0A2E5ASA9,,165.0,22.4,1.0,8.654e-11,410.0,163.0,159.0,0.9754601226993864,bacterium,1869227.0,AFDB50,FoldSeek,DSL-LC02
A0A2D5YE56,,168.0,19.6,1.0,1.845e-10,416.0,163.0,161.0,0.9877300613496932,Porticoccaceae bacterium,2026782.0,AFDB50,FoldSeek,DSL-LC02
J3B322,,244.0,19.6,1.0,3.453e-10,316.0,245.0,223.0,0.9102040816326532,Brevibacillus sp. CF112,1144311.0,AFDB50,FoldSeek,Bam35
UPI00006CA333,,202.0,27.7,1.0,4.061e-10,443.0,273.0,200.0,0.7326007326007326,Salasvirus phi29,10756.0,BFVD,FoldSeek,WhyPhy
A0A2E9PUQ4,,163.0,22.6,1.0,2.391e-09,380.0,163.0,158.0,0.9693251533742332,Euryarchaeota archaeon,2026739.0,AFDB50,FoldSeek,DSL-LC02
J3B322,,261.0,16.8,1.0,2.786e-09,285.0,245.0,241.0,0.9836734693877552,Brevibacillus sp. CF112,1144311.0,AFDB50,FoldSeek,Sato
A0A2E0E2C1,,177.0,13.5,1.0,4.688e-09,273.0,163.0,137.0,0.8404907975460123,Rhodobacteraceae bacterium,1904441.0,AFDB50,FoldSeek,ABV
